JGID,job-name,account-text,form,class,formdef,pagedef,page_count,sheet_count
5124027015,JK0269P3,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,8,6
5124027016,JK0269P4,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,20,12
5124027017,JK0269P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,4684,2344
5124027018,JK0505M1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,7458,3731
5124027019,JK0271P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,1,3
5124027020,JK0817P1,DITS\#\#\#\#\#\#,,,DUMMY,*INLINE-AFPDS*,2,3
5124027021,UCT-4973-E_8869782_67bd6d17-9d5d-47c5-85cd-510ff6216037,DITS\#\#\#\#\#\#,ZY81,L,F1#PZERO,*INLINE-pdf*,4010,2007
5124027022,UCT-4973-E_8869783_5c3f67ab-92ec-48a6-bad1-3e6b9564a32e,DITS\#\#\#\#\#\#,ZY81,L,F1#PZERO,*INLINE-pdf*,4018,2011
5124027023,UCT-4973-E_8869784_425728fe-3673-468f-8733-6b9723b89a20,DITS\#\#\#\#\#\#,ZY81,L,F1#PZERO,*INLINE-pdf*,2208,1106
5202300854,AD32882U,A261390202,STD,A,F1@@STD,P1@@STD,1,3
5124027024,DCVD_-_VICTIM_WITNESS_SURCHARGE_NOTICES,4102040001,ZY07,P,F1@PZERO,*INLINE-pdf*,83,85
5124027025,DCPIV44J,41P800\#\#\#\#,FAN0,O,F1@DFLT,P1@DFLT,441,222
5124027026,DCPIV44J,41P800\#\#\#\#,FAN0,O,F1@DFLT,P1@DFLT,441,222
5124027027,DCPIV44J,41P800\#\#\#\#,FAN0,O,F1@DFLT,P1@DFLT,441,222
